Id;Name;Description;Increase Attribute;Increase Attribute Desc;Focus;Spoken Languages;Writen Languages;Race;Classe;Image
orlesian_exile;Exilé Orlésien;Orlaïs est la nation la plus puissante et la plus avancée culturellement de Thédas. L’impératrice Célène I règne depuis la glorieuse cité de Val-Royeaux, qui abrite aussi le centre du pouvoir de la Chantrie andrastienne. Le trône de la Divine, la dirigeante de la Chantrie, se trouve dans la Grande cathédrale, l’un des bâtiments les plus impressionnants de tout Thédas. En Orlaïs, les pouvoirs séculier et régulier se rejoignent et il est parfois difficile d’établir une séparation claire entre les deux domaines. Cependant, malgré la puissance de l’empire, Orlaïs a connu d’importants revers au cours des soixante dernières années. Il y a d’abord eu la défaite militaire contre Névarra qui lui a coûté un territoire précieux. Les Orlésiens ont ensuite été vaincus en Férelden, ce qui a mis fin à leur occupation de ce pays. La situation est restée tendue pendant quelques années, mais les relations ont finalement été normalisées sous le règne du roi féreldien Maric, et la menace d’une reprise des hostilités s’est estompée.&En Orlaïs, et plus particulièrement à Val-Royeaux, les nobles sont engagés dans un jeu sans fin mêlant statut et politique. Les rumeurs des salons peuvent ruiner une vie aussi vite qu’un coup d’épée. L’inconstance des factions et des modes peut voir la ruine d’une famille une année et son retour triomphant l’année suivante. Comme tous les jeux, celui-ci a ses perdants et la décision la plus sage est parfois pour eux de quitter Orlaïs, au moins temporairement. Certains sont officiellement exilés pour des crimes réels ou inventés, tandis que d’autres choisissent d’errer à travers Thédas en attendant que la situation change à la cour. On rencontre de tels exilés orlésiens dans tout le continent.;communication;Les Orlésiens parlent avec une grande aisance.;persuasion&cultural_lore;trade_tongue&orlesian;trade_tongue&orlesian;human;warrior&rogue;orlesian_exile.png
free_marcher;Habitant des Marches Libres;Au nord de Férelden, par-delà la mer d’Écume, s’étendent les Marches libres. Cette confédération informelle de cités-états est connue comme le grenier à blé de Thédas, grâce à ses riches terres arables et ses récoltes abondantes. Les Marches libres n’ont pas de gouvernement central, et les cités qui les composent sont presque en permanence engagées dans plusieurs querelles mineures commerciales, douanières et territoriales. Cependant, quand une puissance étrangère les menace, les habitants des Marches se rallient et alignent des armées qui rivalisent avec celles de leurs voisins. Les principales villes des Marches libres sont Ansburg, Hercinia, Kirkwall, Markham, Ostwick, Osterburg et Tanterval.&Les habitants des Marches forment un peuple dynamique. Ce sont d’excellents marchands, mais aussi des défenseurs farouches de leurs cités natales. Certains affinent leurs compétences martiales pour participer au Grand tournoi, une compétition et une foire itinérantes qui se déplacent de cité en cité. Tous les trois ans environ, le Grand tournoi s’immobilise pour un an le temps d’un grand défi guerrier. On se déplace de tout Thédas jusqu’aux Marches libres pour assister ou participer à cet événement légendaire.;cunning;Tout est soumis à une concurrence féroce dans les Marches libres et il faut un esprit vif pour y prospérer.;evaluation&bargaining;trade_tongue;trade_tongue;human&elven&dwarf;warrior&rogue;
fereldan freeman;Homme Libre Féreldien;Férelden est une jeune nation fondée par des barbares humains il y a 400 ans. Les tribus alamarri étaient arrivées dans la région bien avant cette date, mais elles étaient tellement divisées qu’il fallut des événements extraordinaires pour qu’elles se rassemblent et forment Férelden. Il s’agit maintenant d’une nation en pleine ascension qui espère s’appuyer sur ses succès pour devenir une grande puissance.&Les nobles dirigent Férelden et les artisans et les prêtres exercent une influence importante sur eux. Mais l’écrasante majorité de la population est constituée d’hommes libres. Comme leur nom l’indique, il ne s’agit ni d’esclaves ni de serfs, mais d’hommes et de femmes libres. Ils sont soldats, commerçants, ouvriers agricoles, fermiers, bateleurs, chasseurs et bien d’autres choses encore. Les hommes libres ne sont pas riches, mais ils sont fiers et pragmatiques. En Férelden, un homme libre capable et ambitieux peut gravir l’échelle sociale et c’est ce que beaucoup font.;constitution;Le peuple de Férelden descend de vigoureux barbares.;stamina&courage;trade_tongue;trade_tongue;human;warrior&rogue;
tevinter_laetan;Laetan Tévintide;Les altus sont des mages qui possèdent la puissance et le prestige des anciennes familles nobles de l’Empire tévintide, mais ils ne sont pas les seuls à y pratiquer la magie. Les laetans sont les mages issus des rangs des roturiers (les soporati). S’ils ne partagent pas tous les privilèges des altus, leurs pouvoirs magiques les placent malgré tout au-dessus de la majorité des habitants de l’Empire. Ils sont identifiés dès leur plus jeune âge et formés au service. Certains remettent en cause les traditions et partent à l’aventure dans les autres nations de Thédas. Naturellement, hors de l’Empire, peu de gens comprennent la différence entre les altus et les laetans.;magic;Les laetan ne peuvent compter que sur leur intelligence pour réussir dans l’Empire tévintide.;leadership&arcane_lore;trade_tongue&tevinter;trade_tongue&tevinter;human;mage;
circle_mage_human;Mage du Cercle;En des temps anciens, l’utilisation de la magie était condamnée hors de l’Empire tévintide, et ceux qui la pratiquaient étaient persécutés et traqués. Cela ne fit qu’empirer avec l’avènement de la Chantrie, car la nouvelle religion accusait la magie d’être corrompue et maléfique. Naturellement, la magie était aussi bien utile, notamment pour combattre des créatures comme les engeances. Un compromis fut donc trouvé, selon lequel les mages pourraient pratiquer légalement leur magie – mais uniquement sous l’oeil vigilant de la Chantrie. La magie du sang, pratiquée par les terrifiants maléficiens, fut strictement interdite.&Pendant le Second enclin, les mages prouvèrent leur utilité et aidèrent à sauver l’humanité. Cela leur permit de gagner un peu d’autonomie, et c’est ainsi que naquit le premier Cercle des mages. Même si des templiers de la Chantrie sont toujours en garnison dans chaque tour du Cercle, ce sont les mages qui régentent ceux qui possèdent des pouvoirs magiques. Les mages du Cercle trouvent les humains et les elfes dotés de talents magiques et les emmènent dans leurs tours pour les former et les surveiller, tout en leur apprenant à se défendre contre les possessions démoniaques. La pratique de la magie hors du Cercle a été un crime grave, voire puni de mort, à de nombreuses époques.;magic;Ce bonus représente la formation que vous avez reçue dans votre Cercle.;arcane_lore&historical_lore;trade_tongue;trade_tongue&ancient_tevene;human;mage;circle_mage_human.png
circle_mage_elf;Mage du Cercle;En des temps anciens, l’utilisation de la magie était condamnée hors de l’Empire tévintide, et ceux qui la pratiquaient étaient persécutés et traqués. Cela ne fit qu’empirer avec l’avènement de la Chantrie, car la nouvelle religion accusait la magie d’être corrompue et maléfique. Naturellement, la magie était aussi bien utile, notamment pour combattre des créatures comme les engeances. Un compromis fut donc trouvé, selon lequel les mages pourraient pratiquer légalement leur magie – mais uniquement sous l’oeil vigilant de la Chantrie. La magie du sang, pratiquée par les terrifiants maléficiens, fut strictement interdite.&Pendant le Second enclin, les mages prouvèrent leur utilité et aidèrent à sauver l’humanité. Cela leur permit de gagner un peu d’autonomie, et c’est ainsi que naquit le premier Cercle des mages. Même si des templiers de la Chantrie sont toujours en garnison dans chaque tour du Cercle, ce sont les mages qui régentent ceux qui possèdent des pouvoirs magiques. Les mages du Cercle trouvent les humains et les elfes dotés de talents magiques et les emmènent dans leurs tours pour les former et les surveiller, tout en leur apprenant à se défendre contre les possessions démoniaques. La pratique de la magie hors du Cercle a été un crime grave, voire puni de mort, à de nombreuses époques.;magic;Ce bonus représente la formation que vous avez reçue dans votre Cercle.;arcane_lore&historical_lore;trade_tongue;trade_tongue&ancient_tevene;elven;mage;
rivaini_merchant;Marchand Rivaini;Riveïn est une nation du nord-est de Thédas qui appartenait autrefois à l’Empire tévintide. Après avoir pourtant survécu à deux Enclins survenus sur son territoire, Riveïn a été conquis par les envahisseurs qunari pendant l’ère de l’Acier. Il a fallu trois marches exaltées pour repousser les qunari jusque dans une unique ville, Kont-Aar. La Chantrie a alors retourné ses forces contre les Rivaini, car ceux-ci suivaient encore les anciennes coutumes et honoraient leurs devins traditionnels. Aujourd’hui, Riveïn est un centre important d’échanges commerciaux, même avec les qunari. Naturellement, partout où des marchandises circulent, on trouve aussi trafic et piraterie, et la frontière entre un marchand et un contrebandier est parfois floue. Les Rivainis ont l’habitude d’être opprimés, mais aucune force sur Thédas n’est parvenue à briser leur volonté.;dexterity;Les Rivainis ont les mains aussi vives que la langue.;seduction&acrobatics;trade_tongue&rivaini;trade_tongue&rivaini;human&elven;warrior&rogue;rivaini_merchant.png
low_born_dwarf;Nain de Basse Extraction;C’est le dur labeur quotidien des nains des castes des Mineurs, des Marchands et des Serviteurs qui assure le bon fonctionnement d’Orzammar. Les Mineurs forment la plus prestigieuse de ces trois castes, en particulier ceux chargés de la dangereuse extraction du lyrium. La caste des Marchands est la suivante dans la hiérarchie, car c'est elle qui fait entrer l’argent dans la cité et organise les fructueux échanges commerciaux. Les Serviteurs sont la plus basse des castes, bien qu’ils soient encore au-dessus des nains de la surface et des sans-caste.&Au sein de ce groupe, ce sont les Marchands qui ont le plus de chances de quitter Orzammar ou de devenir aventuriers. Les négociations commerciales les mettent souvent en contact avec des humains et les nains de la surface appartenaient initialement à cette caste. Il arrive parfois qu’un membre de la caste des Marchands parte rejoindre des proches à la surface malgré la perte de statut à Orzammar. Ce genre de départ est plus rare chez les Mineurs et les Serviteurs, bien qu’il arrive parfois qu’un Mineur vende son expertise aux nations humaines en échange d’or et d’autres richesses.;communication;Les membres des castes inférieures doivent se faire des amis pour progresser dans la vie.;persuasion&stamina;trade_tongue&dwarven;trade_tongue&dwarven;dwarf;warrior&rogue;
high_born_dwarf;Nain de Haute Lignée;Au sommet de la société naine se trouvent les maisons nobles, déchirées par des rivalités et des conflits qui durent depuis bien des générations. Le reste de la population est divisée en castes, au premier rang desquelles figurent celles des Guerriers, des Forgerons et des Artisans. La caste des Guerriers est la plus prestigieuse de toutes. Les Guerriers mènent une guerre sans fin contre les engeances dans les Tréfonds, et fournissent le gros des soldats des maisons nobles. Cette caste est tellement nombreuse qu’elle est en réalité divisée en plusieurs souscastes, dont celles des officiers, des soldats et des gardes. La caste des Forgerons est la deuxième plus importante, car comment les guerriers pourraient-ils combattre sans armes et sans armures ? La caste des Artisans est la dernière des castes supérieures. Ses membres sont eux aussi particulièrement respectés dans la société naine, car c’est le fruit de leur travail qui permet à Orzammar de vivre.&Du fait du statut privilégié dont bénéficient les nains de haute lignée à Orzammar, il est rare qu’ils partent vers la surface. Certains sont exilés parce qu’ils ont commis un crime ou se sont trouvés dans le camp des perdants d’une querelle entre maisons. D’autres sont envoyés en mission sur les terres des humains, mais c’est un événement rare. Si vous voulez jouer un nain d’une caste supérieure ayant quitté Orzammar, discutez avec votre MJ des circonstances de votre départ, et déterminez si elles provoqueraient la perte de votre caste si vous rentriez chez vous.;strength;Il faut être fort pour survivre aux luttes politiques à Orzammar.;crafting&intimidation&smithing;trade_tongue&dwarven;trade_tongue&dwarven;dwarf;warrior&rogue;high_born_dwarf.png
surface_dwarf;Nain de la Surface;En des temps reculés, les nains régnaient sur un vaste empire souterrain. Leurs villes et leurs communautés étaient nombreuses, toutes reliées par des routes souterraines, les Tréfonds, qui couraient loin sous la surface. Seules deux cités naines demeurent aujourd’hui : Orzammar dans les Dorsales de givre et la lointaine Kal-Sharok. Toutes deux mènent une guerre sans fin contre les engeances qui envahirent les anciens domaines des nains. Les deux cités-forteresses sont toujours vaillantes, mais la population naine a lentement décru pendant les mille dernières années. Orzammar et Kal-Sharok sont fondamentalement isolationnistes. La société naine est rigide, fondée sur des castes, et la politique y est notoirement vicieuse.&Une caste se distingue pourtant des autres : celle des nains de la surface. Ils jouent un rôle vital, mais bizarrement les autres nains les méprisent. Les nains de la surface sont majoritairement des marchands et des intermédiaires qui font le commerce de biens et de matières premières auprès des humains et des elfes. Ils fournissent des minerais, des gemmes, de l’acier finement forgé, des objets d’artisanat de la plus haute qualité et le précieux minéral qu’on appelle lyrium. Les aventuriers et les voyageurs nains appartiennent aussi à la caste de la surface. À Orzammar et Kal-Sharok, les nains de cette caste sont inférieurs à tous les autres, excepté les sans-caste et les criminels. Il est ironique que les plus célèbres aventuriers nains dans les pays humains aient un si faible statut et aucun prestige dans leur patrie.;constitution;Les nains sont célèbres pour leur robustesse.;stamina&bargaining;trade_tongue&dwarven;trade_tongue&dwarven;dwarf;warrior&rogue;surface_dwarf.png
